rp_id,model,method,bit_width,group_size,dataset,metric,value,baseline_label,baseline_value,delta,delta_unit,headline,source_kind,page,section,source_table,quote
RP11,OPT-175B,LLM.int8(),8-bit,,C4,Performance retention vs FP16,no degradation,FP16,,0,absolute,True,measured,1,Abstract,,we show empirically it is possible to perform inference in LLMs with up to 175B parameters without any performance degradation
RP11,BLOOM-176B,LLM.int8(),8-bit,,N/A,Memory reduction factor,1.96,FP16,1.0,0.96,x_factor,True,measured,4,3 Int8 Matrix Multiplication at Scale,,"for BLOOM-176B, we reduce the memory footprint of the model by 1.96x"
RP11,Transformer-LM,FP16 (outliers zeroed),16-bit,,C4,Perplexity degradation (%),600-1000%,FP16,,,percent,True,measured,2,1 Introduction,,Setting these outlier feature dimensions to zero decreases top-1 attention softmax probability mass by more than 20% and degrades validation perplexity by 600-1000%
RP11,Transformer-LM,FP16 (random feats zeroed),16-bit,,C4,Perplexity degradation (%),0.1,FP16,,0.1,percent,False,measured,2,1 Introduction,,removing the same amount of random features decreases the probability by a maximum of 0.3% and degrades perplexity by about 0.1%
RP11,Transformer-125M,FP32,32-bit,,C4,Perplexity,25.65,,,,,False,measured,6,3.4 Main Results,Table 1,32-bit Float | 25.65 | 15.91 | 14.43 | 13.30 | 12.45
RP11,Transformer-1.3B,FP32,32-bit,,C4,Perplexity,15.91,,,,,False,measured,6,3.4 Main Results,Table 1,32-bit Float | 25.65 | 15.91 | 14.43 | 13.30 | 12.45
RP11,Transformer-2.7B,FP32,32-bit,,C4,Perplexity,14.43,,,,,False,measured,6,3.4 Main Results,Table 1,32-bit Float | 25.65 | 15.91 | 14.43 | 13.30 | 12.45
RP11,Transformer-6.7B,FP32,32-bit,,C4,Perplexity,13.3,,,,,False,measured,6,3.4 Main Results,Table 1,32-bit Float | 25.65 | 15.91 | 14.43 | 13.30 | 12.45
RP11,Transformer-13B,FP32,32-bit,,C4,Perplexity,12.45,,,,,False,measured,6,3.4 Main Results,Table 1,32-bit Float | 25.65 | 15.91 | 14.43 | 13.30 | 12.45
RP11,Transformer-125M,absmax,8-bit,per-tensor,C4,Perplexity,87.76,FP32,25.65,62.11,absolute,False,measured,6,3.4 Main Results,Table 1,Int8 absmax | 87.76 | 16.55 | 15.11 | 14.59 | 19.08
RP11,Transformer-1.3B,absmax,8-bit,per-tensor,C4,Perplexity,16.55,FP32,15.91,0.64,absolute,False,measured,6,3.4 Main Results,Table 1,Int8 absmax | 87.76 | 16.55 | 15.11 | 14.59 | 19.08
RP11,Transformer-2.7B,absmax,8-bit,per-tensor,C4,Perplexity,15.11,FP32,14.43,0.68,absolute,False,measured,6,3.4 Main Results,Table 1,Int8 absmax | 87.76 | 16.55 | 15.11 | 14.59 | 19.08
RP11,Transformer-6.7B,absmax,8-bit,per-tensor,C4,Perplexity,14.59,FP32,13.3,1.29,absolute,False,measured,6,3.4 Main Results,Table 1,Int8 absmax | 87.76 | 16.55 | 15.11 | 14.59 | 19.08
RP11,Transformer-13B,absmax,8-bit,per-tensor,C4,Perplexity,19.08,FP32,12.45,6.63,absolute,False,measured,6,3.4 Main Results,Table 1,Int8 absmax | 87.76 | 16.55 | 15.11 | 14.59 | 19.08
RP11,Transformer-125M,zeropoint,8-bit,per-tensor,C4,Perplexity,56.66,FP32,25.65,31.01,absolute,False,measured,6,3.4 Main Results,Table 1,Int8 zeropoint | 56.66 | 16.24 | 14.76 | 13.49 | 13.94
RP11,Transformer-1.3B,zeropoint,8-bit,per-tensor,C4,Perplexity,16.24,FP32,15.91,0.33,absolute,False,measured,6,3.4 Main Results,Table 1,Int8 zeropoint | 56.66 | 16.24 | 14.76 | 13.49 | 13.94
RP11,Transformer-2.7B,zeropoint,8-bit,per-tensor,C4,Perplexity,14.76,FP32,14.43,0.33,absolute,False,measured,6,3.4 Main Results,Table 1,Int8 zeropoint | 56.66 | 16.24 | 14.76 | 13.49 | 13.94
RP11,Transformer-6.7B,zeropoint,8-bit,per-tensor,C4,Perplexity,13.49,FP32,13.3,0.19,absolute,False,measured,6,3.4 Main Results,Table 1,Int8 zeropoint | 56.66 | 16.24 | 14.76 | 13.49 | 13.94
RP11,Transformer-13B,zeropoint,8-bit,per-tensor,C4,Perplexity,13.94,FP32,12.45,1.49,absolute,False,measured,6,3.4 Main Results,Table 1,Int8 zeropoint | 56.66 | 16.24 | 14.76 | 13.49 | 13.94
RP11,Transformer-125M,absmax row-wise,8-bit,per-row,C4,Perplexity,30.93,FP32,25.65,5.28,absolute,False,measured,6,3.4 Main Results,Table 1,Int8 absmax row-wise | 30.93 | 17.08 | 15.24 | 14.13 | 16.49
RP11,Transformer-1.3B,absmax row-wise,8-bit,per-row,C4,Perplexity,17.08,FP32,15.91,1.17,absolute,False,measured,6,3.4 Main Results,Table 1,Int8 absmax row-wise | 30.93 | 17.08 | 15.24 | 14.13 | 16.49
RP11,Transformer-2.7B,absmax row-wise,8-bit,per-row,C4,Perplexity,15.24,FP32,14.43,0.81,absolute,False,measured,6,3.4 Main Results,Table 1,Int8 absmax row-wise | 30.93 | 17.08 | 15.24 | 14.13 | 16.49
RP11,Transformer-6.7B,absmax row-wise,8-bit,per-row,C4,Perplexity,14.13,FP32,13.3,0.83,absolute,False,measured,6,3.4 Main Results,Table 1,Int8 absmax row-wise | 30.93 | 17.08 | 15.24 | 14.13 | 16.49
RP11,Transformer-13B,absmax row-wise,8-bit,per-row,C4,Perplexity,16.49,FP32,12.45,4.04,absolute,False,measured,6,3.4 Main Results,Table 1,Int8 absmax row-wise | 30.93 | 17.08 | 15.24 | 14.13 | 16.49
RP11,Transformer-125M,absmax vector-wise,8-bit,vector-wise,C4,Perplexity,35.84,FP32,25.65,10.19,absolute,False,measured,6,3.4 Main Results,Table 1,Int8 absmax vector-wise | 35.84 | 16.82 | 14.98 | 14.13 | 16.48
RP11,Transformer-1.3B,absmax vector-wise,8-bit,vector-wise,C4,Perplexity,16.82,FP32,15.91,0.91,absolute,False,measured,6,3.4 Main Results,Table 1,Int8 absmax vector-wise | 35.84 | 16.82 | 14.98 | 14.13 | 16.48
RP11,Transformer-2.7B,absmax vector-wise,8-bit,vector-wise,C4,Perplexity,14.98,FP32,14.43,0.55,absolute,False,measured,6,3.4 Main Results,Table 1,Int8 absmax vector-wise | 35.84 | 16.82 | 14.98 | 14.13 | 16.48
RP11,Transformer-6.7B,absmax vector-wise,8-bit,vector-wise,C4,Perplexity,14.13,FP32,13.3,0.83,absolute,False,measured,6,3.4 Main Results,Table 1,Int8 absmax vector-wise | 35.84 | 16.82 | 14.98 | 14.13 | 16.48
RP11,Transformer-13B,absmax vector-wise,8-bit,vector-wise,C4,Perplexity,16.48,FP32,12.45,4.03,absolute,False,measured,6,3.4 Main Results,Table 1,Int8 absmax vector-wise | 35.84 | 16.82 | 14.98 | 14.13 | 16.48
RP11,Transformer-125M,zeropoint vector-wise,8-bit,vector-wise,C4,Perplexity,25.72,FP32,25.65,0.07,absolute,False,measured,6,3.4 Main Results,Table 1,Int8 zeropoint vector-wise | 25.72 | 15.94 | 14.36 | 13.38 | 13.47
RP11,Transformer-1.3B,zeropoint vector-wise,8-bit,vector-wise,C4,Perplexity,15.94,FP32,15.91,0.03,absolute,False,measured,6,3.4 Main Results,Table 1,Int8 zeropoint vector-wise | 25.72 | 15.94 | 14.36 | 13.38 | 13.47
RP11,Transformer-2.7B,zeropoint vector-wise,8-bit,vector-wise,C4,Perplexity,14.36,FP32,14.43,-0.07,absolute,False,measured,6,3.4 Main Results,Table 1,Int8 zeropoint vector-wise | 25.72 | 15.94 | 14.36 | 13.38 | 13.47
RP11,Transformer-6.7B,zeropoint vector-wise,8-bit,vector-wise,C4,Perplexity,13.38,FP32,13.3,0.08,absolute,False,measured,6,3.4 Main Results,Table 1,Int8 zeropoint vector-wise | 25.72 | 15.94 | 14.36 | 13.38 | 13.47
RP11,Transformer-13B,zeropoint vector-wise,8-bit,vector-wise,C4,Perplexity,13.47,FP32,12.45,1.02,absolute,False,measured,6,3.4 Main Results,Table 1,Int8 zeropoint vector-wise | 25.72 | 15.94 | 14.36 | 13.38 | 13.47
RP11,Transformer-125M,absmax row-wise + decomposition,8-bit,per-row,C4,Perplexity,30.76,FP32,25.65,5.11,absolute,False,measured,6,3.4 Main Results,Table 1,Int8 absmax row-wise + decomposition | 30.76 | 16.19 | 14.65 | 13.25 | 12.46
RP11,Transformer-1.3B,absmax row-wise + decomposition,8-bit,per-row,C4,Perplexity,16.19,FP32,15.91,0.28,absolute,False,measured,6,3.4 Main Results,Table 1,Int8 absmax row-wise + decomposition | 30.76 | 16.19 | 14.65 | 13.25 | 12.46
