rp_id,model,method,bit_width,group_size,dataset,metric,value,baseline_label,baseline_value,delta,delta_unit,headline,source_kind,page,section,source_table,quote
RP47,Llama 3 8B,Toy model (Section 2.2.3),16-bit,,H100 SXM,Maximum tokens per second,966,,,,,False,measured,7,2.2.3 Theoretical analysis,Table 1,Llama 3 8B | 966 | 11
RP47,Llama 3 8B,Toy model (Section 2.2.3),16-bit,,H100 SXM,Optimal instance size (GPUs),11,,,,,False,measured,7,2.2.3 Theoretical analysis,Table 1,Llama 3 8B | 966 | 11
RP47,Llama 3 70B,Toy model (Section 2.2.3),16-bit,,H100 SXM,Maximum tokens per second,234,,,,,False,measured,7,2.2.3 Theoretical analysis,Table 1,Llama 3 70B | 234 | 26
RP47,Llama 3 70B,Toy model (Section 2.2.3),16-bit,,H100 SXM,Optimal instance size (GPUs),26,,,,,False,measured,7,2.2.3 Theoretical analysis,Table 1,Llama 3 70B | 234 | 26
RP47,GPT-3,Toy model (Section 2.2.3),16-bit,,H100 SXM,Maximum tokens per second,148,,,,,False,measured,7,2.2.3 Theoretical analysis,Table 1,GPT-3 | 148 | 42
RP47,GPT-3,Toy model (Section 2.2.3),16-bit,,H100 SXM,Optimal instance size (GPUs),42,,,,,False,measured,7,2.2.3 Theoretical analysis,Table 1,GPT-3 | 148 | 42
RP47,PaLM-540B,Toy model (Section 2.2.3),16-bit,,H100 SXM,Maximum tokens per second,86,,,,,False,measured,7,2.2.3 Theoretical analysis,Table 1,PaLM-540B | 86 | 79
RP47,PaLM-540B,Toy model (Section 2.2.3),16-bit,,H100 SXM,Optimal instance size (GPUs),79,,,,,False,measured,7,2.2.3 Theoretical analysis,Table 1,PaLM-540B | 86 | 79
RP47,GPT-4,Toy model (Section 2.2.3),16-bit,,H100 SXM,Maximum tokens per second,56,,,,,False,measured,7,2.2.3 Theoretical analysis,Table 1,GPT-4 (architecture from Patel and Wong 2023) | 56 | 173
RP47,GPT-4,Toy model (Section 2.2.3),16-bit,,H100 SXM,Optimal instance size (GPUs),173,,,,,False,measured,7,2.2.3 Theoretical analysis,Table 1,GPT-4 (architecture from Patel and Wong 2023) | 56 | 173
RP47,Llama 3 70B,Square root scaling prediction,16-bit,,NVIDIA hardware,Tokens per second,135,Llama 3 8B at 400 tok/s,400,,,False,measured,7,2.2.3 Theoretical analysis,,the square root model predicts 135 tokens/second for a 70B dense model
RP47,Llama 3.1 405B,Square root scaling prediction,16-bit,,NVIDIA hardware,Tokens per second,56,Llama 3 8B at 400 tok/s,400,,,False,measured,7,2.2.3 Theoretical analysis,,and 56 tokens/second for a 405B dense model
RP47,Mixtral 8x22B,Final model (Section 3) with speculative decoding,16-bit,,H100 SXM,Maximum tokens per second,199,,,,,False,measured,15,4 Inference economics of example models,Table 2,Mixtral 8x22B (16-bit) | 199 | 125
RP47,Mixtral 8x22B,Final model (Section 3) with speculative decoding,16-bit,,H100 SXM,Optimal instance size (GPUs),125,,,,,False,measured,15,4 Inference economics of example models,Table 2,Mixtral 8x22B (16-bit) | 199 | 125
RP47,Llama 3 70B,Final model (Section 3) with speculative decoding,8-bit,,H100 SXM,Maximum tokens per second,189,,,,,False,measured,15,4 Inference economics of example models,Table 2,Llama 3 70B (8-bit) | 189 | 24
RP47,Llama 3 70B,Final model (Section 3) with speculative decoding,8-bit,,H100 SXM,Optimal instance size (GPUs),24,,,,,False,measured,15,4 Inference economics of example models,Table 2,Llama 3 70B (8-bit) | 189 | 24
RP47,Llama 3.1 405B,Final model (Section 3) with speculative decoding,8-bit,,H100 SXM,Maximum tokens per second,122,,,,,False,measured,15,4 Inference economics of example models,Table 2,Llama 3.1 405B (8-bit) | 122 | 48
RP47,Llama 3.1 405B,Final model (Section 3) with speculative decoding,8-bit,,H100 SXM,Optimal instance size (GPUs),48,,,,,False,measured,15,4 Inference economics of example models,Table 2,Llama 3.1 405B (8-bit) | 122 | 48
RP47,GPT-4,Final model (Section 3) with speculative decoding,16-bit,,H100 SXM,Maximum tokens per second,106,,,,,False,measured,15,4 Inference economics of example models,Table 2,"GPT-4 (16-bit, speculative) | 106 | 460"
RP47,GPT-4,Final model (Section 3) with speculative decoding,16-bit,,H100 SXM,Optimal instance size (GPUs),460,,,,,False,measured,15,4 Inference economics of example models,Table 2,"GPT-4 (16-bit, speculative) | 106 | 460"
RP47,DeepSeek-V3,Final model (Section 3) with speculative decoding,8-bit,,H100 SXM,Maximum tokens per second,215,,,,,True,measured,15,4 Inference economics of example models,Table 2,DeepSeek-V3 (8-bit) | 215 | 14
RP47,DeepSeek-V3,Final model (Section 3) with speculative decoding,8-bit,,H100 SXM,Optimal instance size (GPUs),14,,,,,False,measured,15,4 Inference economics of example models,Table 2,DeepSeek-V3 (8-bit) | 215 | 14
RP47,Mixtral 8x22B,"Efficient setup (alpha=3, speculative decoding)",16-bit,,H100 SXM,Tokens per second,128,,,,,False,measured,15,4 Inference economics of example models,Table 3,Mixtral 8x22B (16-bit) | 128 | $0.54 | 23 | 197
RP47,Mixtral 8x22B,"Efficient setup (alpha=3, speculative decoding)",16-bit,,H100 SXM,Cost per million tokens (USD),0.54,,,,,False,measured,15,4 Inference economics of example models,Table 3,Mixtral 8x22B (16-bit) | 128 | $0.54 | 23 | 197
RP47,Llama 3 70B,"Efficient setup (alpha=3, speculative decoding)",8-bit,,H100 SXM,Tokens per second,107,,,,,False,measured,15,4 Inference economics of example models,Table 3,Llama 3 70B (8-bit) | 107 | $0.27 | 7 | 136
RP47,Llama 3 70B,"Efficient setup (alpha=3, speculative decoding)",8-bit,,H100 SXM,Cost per million tokens (USD),0.27,,,,,False,measured,15,4 Inference economics of example models,Table 3,Llama 3 70B (8-bit) | 107 | $0.27 | 7 | 136
RP47,Llama 3.1 405B,"Efficient setup (alpha=3, speculative decoding)",8-bit,,H100 SXM,Tokens per second,61,,,,,False,measured,15,4 Inference economics of example models,Table 3,Llama 3.1 405B (8-bit) | 61 | $1.31 | 8 | 58
RP47,Llama 3.1 405B,"Efficient setup (alpha=3, speculative decoding)",8-bit,,H100 SXM,Cost per million tokens (USD),1.31,,,,,False,measured,15,4 Inference economics of example models,Table 3,Llama 3.1 405B (8-bit) | 61 | $1.31 | 8 | 58
RP47,GPT-4,"Efficient setup (alpha=3, speculative decoding)",16-bit,,H100 SXM,Tokens per second,61,,,,,False,measured,15,4 Inference economics of example models,Table 3,"GPT-4 (16-bit, speculative) | 61 | $4.53 | 100 | 213"
RP47,GPT-4,"Efficient setup (alpha=3, speculative decoding)",16-bit,,H100 SXM,Cost per million tokens (USD),4.53,,,,,False,measured,15,4 Inference economics of example models,Table 3,"GPT-4 (16-bit, speculative) | 61 | $4.53 | 100 | 213"
RP47,DeepSeek-V3,"Efficient setup (alpha=3, speculative decoding)",8-bit,,H100 SXM,Tokens per second,116,,,,,False,measured,15,4 Inference economics of example models,Table 3,DeepSeek-V3 (8-bit) | 116 | $1.10 | 54 | 247
RP47,DeepSeek-V3,"Efficient setup (alpha=3, speculative decoding)",8-bit,,H100 SXM,Cost per million tokens (USD),1.1,,,,,False,measured,15,4 Inference economics of example models,Table 3,DeepSeek-V3 (8-bit) | 116 | $1.10 | 54 | 247
RP47,Llama 3 70B,Final model (Section 3) on H100 SXM,8-bit,,H100 SXM,Maximum tokens per second,152,,,,,False,measured,16,4 Inference economics of example models,Table 4,H100 SXM | 152 | 24
RP47,Llama 3 70B,Final model (Section 3) on H100 SXM,8-bit,,H100 SXM,Optimal instance size (GPUs),24,,,,,False,measured,16,4 Inference economics of example models,Table 4,H100 SXM | 152 | 24
RP47,Llama 3 70B,Final model (Section 3) on A100 SXM,8-bit,,A100 SXM,Maximum tokens per second,132,,,,,False,measured,16,4 Inference economics of example models,Table 4,A100 SXM | 132 | 32
RP47,Llama 3 70B,Final model (Section 3) on A100 SXM,8-bit,,A100 SXM,Optimal instance size (GPUs),32,,,,,False,measured,16,4 Inference economics of example models,Table 4,A100 SXM | 132 | 32
RP47,Llama 3 70B,Final model (Section 3) on V100 SXM,8-bit,,V100 SXM,Maximum tokens per second,105,,,,,False,measured,16,4 Inference economics of example models,Table 4,V100 SXM | 105 | 102
RP47,Llama 3 70B,Final model (Section 3) on V100 SXM,8-bit,,V100 SXM,Optimal instance size (GPUs),102,,,,,False,measured,16,4 Inference economics of example models,Table 4,V100 SXM | 105 | 102
RP47,Llama 3 70B,"Efficient setup, no speculative decoding (alpha=3)",16-bit,,H100 SXM,Tokens per second,69,,,,,False,measured,18,4.2 The impact of quantization,Table 5,Llama 3 70B | 69 | $0.52 | 8 | 127
RP47,Llama 3 70B,"Efficient setup, no speculative decoding (alpha=3)",16-bit,,H100 SXM,Cost per million tokens (USD),0.52,,,,,False,measured,18,4.2 The impact of quantization,Table 5,Llama 3 70B | 69 | $0.52 | 8 | 127
RP47,Llama 3 70B,Efficient setup with speculative decoding (alpha=3),16-bit,,H100 SXM,Tokens per second,95,Llama 3 70B (no spec dec),69,26,absolute,True,measured,18,4.2 The impact of quantization,Table 5,Llama 3 70B (S) | 95 | $0.51 | 6 | 73
RP47,Llama 3 70B,Efficient setup with speculative decoding (alpha=3),16-bit,,H100 SXM,Cost per million tokens (USD),0.51,Llama 3 70B (no spec dec),0.52,-0.01,absolute,False,measured,18,4.2 The impact of quantization,Table 5,Llama 3 70B (S) | 95 | $0.51 | 6 | 73
RP47,Llama 3.1 405B,"Efficient setup, no speculative decoding (alpha=3)",16-bit,,H100 SXM,Tokens per second,35,,,,,False,measured,18,4.2 The impact of quantization,Table 5,Llama 3.1 405B | 35 | $6.54 | 31 | 80
RP47,Llama 3.1 405B,"Efficient setup, no speculative decoding (alpha=3)",16-bit,,H100 SXM,Cost per million tokens (USD),6.54,,,,,False,measured,18,4.2 The impact of quantization,Table 5,Llama 3.1 405B | 35 | $6.54 | 31 | 80
RP47,Llama 3.1 405B,Efficient setup with speculative decoding (alpha=3),16-bit,,H100 SXM,Tokens per second,71,Llama 3.1 405B (no spec dec),35,36,absolute,True,measured,18,4.2 The impact of quantization,Table 5,Llama 3.1 405B (S) | 71 | $7.33 | 23 | 26
RP47,Llama 3.1 405B,Efficient setup with speculative decoding (alpha=3),16-bit,,H100 SXM,Cost per million tokens (USD),7.33,Llama 3.1 405B (no spec dec),6.54,0.79,absolute,False,measured,18,4.2 The impact of quantization,Table 5,Llama 3.1 405B (S) | 71 | $7.33 | 23 | 26
RP47,Llama 3 70B,"Efficient setup, weight-only quantization (alpha=4)",4-bit,,H100 SXM,Tokens per second,122,16-bit weights,83,39,absolute,True,measured,19,4.3 The impact of long context lengths,Table 6,4-bit weights | 122 | $0.23 | 4 | 90
RP47,Llama 3 70B,"Efficient setup, weight-only quantization (alpha=4)",4-bit,,H100 SXM,Cost per million tokens (USD),0.23,16-bit weights,0.7,-0.47,absolute,False,measured,19,4.3 The impact of long context lengths,Table 6,4-bit weights | 122 | $0.23 | 4 | 90
RP47,Llama 3 70B,"Efficient setup, weight-only quantization (alpha=4)",8-bit,,H100 SXM,Tokens per second,99,16-bit weights,83,16,absolute,False,measured,19,4.3 The impact of long context lengths,Table 6,8-bit weights | 99 | $0.37 | 7 | 109
RP47,Llama 3 70B,"Efficient setup, weight-only quantization (alpha=4)",8-bit,,H100 SXM,Cost per million tokens (USD),0.37,16-bit weights,0.7,-0.33,absolute,False,measured,19,4.3 The impact of long context lengths,Table 6,8-bit weights | 99 | $0.37 | 7 | 109
RP47,Llama 3 70B,"Efficient setup, weight-only quantization (alpha=4)",16-bit,,H100 SXM,Tokens per second,83,,,,,False,measured,19,4.3 The impact of long context lengths,Table 6,16-bit weights | 83 | $0.70 | 13 | 136
RP47,Llama 3 70B,"Efficient setup, weight-only quantization (alpha=4)",16-bit,,H100 SXM,Cost per million tokens (USD),0.7,,,,,False,measured,19,4.3 The impact of long context lengths,Table 6,16-bit weights | 83 | $0.70 | 13 | 136
RP47,Llama 3 70B,100% utilization theoretical,16-bit,,H100 SXM,Cost per million tokens (USD),0.11,,,,,False,measured,18,4.3 The impact of long context lengths,,"at 100% utilization on an H100, the cost per million tokens of Llama 3 70B at 16-bit precision would be around $0.11"
RP47,Mistral Large 2,Long-context KV cache cost lower bound,16-bit,12,H100 SXM (100K context),KV cache cost (USD per million output tokens),6.06,,,,,False,measured,20,4.3 The impact of long context lengths,,$6.06 per million output tokens
RP47,Mistral Large 2,KV cache size,16-bit,12,H100 SXM,Per-token KV cache size (KB),360,,,,,False,measured,20,4.3 The impact of long context lengths,,Mistral Large 2 has a per-token KV cache size of around 360 KB
RP47,DeepSeek-V3,KV cache size (MLA),8-bit,,H100 SXM,Per-token KV cache size (KB),60,Mistral Large 2,360,-300,absolute,False,measured,20,4.3 The impact of long context lengths,,"With a per-token KV cache size of ≈ 60 KB, we expect DeepSeek-V3 to be around 6 times cheaper than Mistral Large 2"
RP47,Llama 3 70B,Speculative decoding (alpha=0.8) gain,16-bit,,H100 SXM,Throughput increase from speculative decoding (%),66,,,,percent,True,measured,17,4.1 The impact of speculative decoding,,a 66% increase in throughput for Llama 3 70B and a doubling of throughput for Llama 3.1 405B at a fixed cost per token
